         471783959 function calls (419599747 primitive calls) in 335.788 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13000   85.283    0.007  292.916    0.023 shape_base.py:267(apply_along_axis)
52173630/53879   75.146    0.000  296.484    0.006 {built-in method numpy.core._multiarray_umath.implement_array_function}
 52000000   26.528    0.000  129.394    0.000 derivative_books.py:377(<lambda>)
 52000000   24.626    0.000  102.866    0.000 <__array_function__ internals>:2(bincount)
 52013000   22.083    0.000   52.762    0.000 shape_base.py:370(<genexpr>)
 52013000   21.924    0.000   30.679    0.000 index_tricks.py:653(__next__)
 52224378   16.914    0.000   16.914    0.000 {built-in method numpy.array}
    39000   13.323    0.000   13.323    0.000 utils.py:13(norm_cdf)
 52092250   12.057    0.000   24.441    0.000 _asarray.py:86(asanyarray)
52027597/52014597    8.762    0.000    8.796    0.000 {built-in method builtins.next}
 52000000    5.729    0.000    5.729    0.000 multiarray.py:852(bincount)
      125    4.553    0.036    7.083    0.057 derivative_books.py:203(simulate_geometric_brownian_motion)
    13250    2.991    0.000   11.919    0.001 derivative_books.py:153(black_price)
      125    2.484    0.020    2.508    0.020 {method 'multivariate_normal' of 'numpy.random._generator.Generator' objects}
    13000    2.026    0.000    6.465    0.000 derivative_books.py:181(black_delta)
    53003    1.847    0.000    1.847    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    13000    1.106    0.000    4.062    0.000 derivative_books.py:44(rebalance_hedge)
     2107    0.622    0.000    0.704    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    13000    0.499    0.000    6.964    0.001 derivative_books.py:380(_marginal_book_delta)
    13250    0.466    0.000   12.385    0.001 derivative_books.py:346(_marginal_book_value)
    13375    0.399    0.000    0.399    0.000 {method 'repeat' of 'numpy.ndarray' objects}
    13000    0.396    0.000   22.781    0.002 environments.py:124(_step)
     9162    0.299    0.000    0.299    0.000 {built-in method nt.stat}
  110/108    0.290    0.003    0.295    0.003 {built-in method _imp.create_dynamic}
    13000    0.277    0.000  300.824    0.023 policies.py:24(_action)
    13000    0.261    0.000    0.405    0.000 stride_tricks.py:37(as_strided)
    13000    0.219    0.000    0.449    0.000 _methods.py:143(_mean)
     2105    0.197    0.000    0.197    0.000 {built-in method marshal.loads}
    13375    0.183    0.000    0.689    0.000 shape_base.py:1171(tile)
    52750    0.139    0.000    4.055    0.000 derivative_books.py:84(_force_state_shape)
    13250    0.137    0.000    1.737    0.000 derivative_books.py:32(hedge_value)
    13000    0.136    0.000    0.825    0.000 index_tricks.py:634(__init__)
        1    0.131    0.131  335.786  335.786 true_bs_hedge.py:2(<module>)
      125    0.127    0.001    8.229    0.066 environments.py:166(fill_batch_of_paths)
      250    0.123    0.000    8.660    0.035 environments.py:91(_reset)
    40000    0.108    0.000    0.108    0.000 {built-in method numpy.zeros}
    26250    0.106    0.000    2.065    0.000 shape_base.py:286(hstack)
    13000    0.105    0.000   13.945    0.001 environments.py:109(step_book_value)
    13000    0.088    0.000  300.384    0.023 derivative_books.py:366(book_delta)
      125    0.087    0.001    8.091    0.065 derivative_books.py:306(sample_paths)
    26250    0.085    0.000    0.144    0.000 shape_base.py:24(atleast_1d)
    13000    0.084    0.000    1.798    0.000 environments.py:117(step_hedge_value)
     2107    0.082    0.000    0.082    0.000 {method 'read' of '_io.FileIO' objects}
    52750    0.080    0.000    0.080    0.000 environments.py:83(get_full_state)
    13000    0.074    0.000    0.087    0.000 _methods.py:59(_count_reduce_items)
    39500    0.070    0.000    1.833    0.000 {method 'sum' of 'numpy.ndarray' objects}
2991/2973    0.058    0.000    0.127    0.000 {built-in method builtins.__build_class__}
120920/120905    0.056    0.000    0.060    0.000 {built-in method builtins.hasattr}
    13375    0.051    0.000    0.221    0.000 numeric.py:75(zeros_like)
     3765    0.046    0.000    0.053    0.000 tf_export.py:289(_validate_symbol_names)
    13000    0.044    0.000   22.825    0.002 environments.py:33(step)
   161584    0.042    0.000    0.042    0.000 {built-in method builtins.isinstance}
    26501    0.040    0.000    2.455    0.000 <__array_function__ internals>:2(concatenate)
    26375    0.039    0.000    0.083    0.000 fromnumeric.py:52(_wrapfunc)
    26876    0.038    0.000    0.038    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    13250    0.036    0.000    0.367    0.000 timestep.py:8(__init__)
    26000    0.036    0.000    0.169    0.000 <__array_function__ internals>:2(transpose)
    26250    0.036    0.000    2.187    0.000 <__array_function__ internals>:2(hstack)
    13250    0.036    0.000   12.673    0.001 derivative_books.py:299(_book_value)
    13250    0.033    0.000   14.046    0.001 derivative_books.py:119(book_value)
    13000    0.032    0.000  300.856    0.023 policies.py:16(action)
    26000    0.031    0.000    0.031    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    26001    0.029    0.000    0.029    0.000 {built-in method math.exp}
   2798/1    0.028    0.000  335.792  335.792 {built-in method builtins.exec}
     3166    0.028    0.000    0.334    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    26250    0.028    0.000    0.036    0.000 derivative_books.py:336(_get_tradables)
    26000    0.027    0.000    0.110    0.000 fromnumeric.py:601(transpose)
    39500    0.027    0.000    1.763    0.000 _methods.py:45(_sum)
    13000    0.026    0.000    0.498    0.000 metrics.py:23(load)
    26500    0.026    0.000    0.026    0.000 environments.py:79(get_time)
    79250    0.025    0.000    0.025    0.000 derivative_books.py:284(get_market_size)
    13375    0.025    0.000    0.736    0.000 <__array_function__ internals>:2(tile)
61635/61634    0.025    0.000    0.026    0.000 {built-in method builtins.getattr}
    26250    0.024    0.000    0.061    0.000 shape_base.py:219(_vhstack_dispatcher)
    26250    0.024    0.000    0.187    0.000 <__array_function__ internals>:2(atleast_1d)
    13000    0.024    0.000  292.975    0.023 <__array_function__ internals>:2(apply_along_axis)
    12750    0.023    0.000    0.377    0.000 timestep.py:21(transition)
     2106    0.022    0.000    1.039    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    13000    0.022    0.000    0.159    0.000 timestep.py:30(__init__)
    13375    0.022    0.000    0.108    0.000 <__array_function__ internals>:2(empty_like)
   2667/7    0.021    0.000    2.816    0.402 <frozen importlib._bootstrap>:978(_find_and_load)
     5665    0.021    0.000    0.021    0.000 {built-in method __new__ of type object at 0x00007FFA67E679A0}
    13000    0.021    0.000    0.470    0.000 {method 'mean' of 'numpy.ndarray' objects}
    26250    0.020    0.000    0.036    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
     1855    0.019    0.000    0.059    0.000 inspect.py:2117(_signature_from_function)
     1829    0.019    0.000    0.094    0.000 inspect.py:1089(getfullargspec)
   140131    0.019    0.000    0.019    0.000 {method 'append' of 'list' objects}
    13376    0.019    0.000    0.044    0.000 <__array_function__ internals>:2(copyto)
    13375    0.018    0.000    0.256    0.000 <__array_function__ internals>:2(zeros_like)
     2580    0.018    0.000    0.035    0.000 tf_decorator.py:67(make_decorator)
     2658    0.018    0.000    0.413    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    26000    0.017    0.000    0.017    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      326    0.017    0.000    0.017    0.000 {built-in method nt.listdir}
      372    0.017    0.000    0.042    0.000 __init__.py:316(namedtuple)
      326    0.017    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
97798/96115    0.017    0.000    0.017    0.000 {built-in method builtins.len}
    40125    0.016    0.000    0.016    0.000 shape_base.py:1253(<genexpr>)
      686    0.016    0.000    0.019    0.000 sre_compile.py:276(_optimize_charset)
    26126    0.016    0.000    0.016    0.000 {built-in method math.sqrt}
      318    0.015    0.000    0.015    0.000 {built-in method builtins.compile}
27903/665    0.015    0.000    2.738    0.004 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     4212    0.014    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
   110/89    0.014    0.000    0.097    0.001 {built-in method _imp.exec_dynamic}
  818/179    0.014    0.000    0.034    0.000 sre_parse.py:469(_parse)
     9015    0.013    0.000    0.023    0.000 inspect.py:2467(__init__)
        1    0.013    0.013    0.013    0.013 {built-in method tensorflow.python._pywrap_tf_session.TF_LoadLibrary}
     5459    0.013    0.000    0.029    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     3659    0.013    0.000    0.032    0.000 tf_export.py:318(__call__)
    16097    0.013    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    16097    0.012    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    13000    0.011    0.000    0.011    0.000 stride_tricks.py:24(_maybe_view_as_subclass)
        1    0.011    0.011    0.011    0.011 {built-in method tensorflow.python._pywrap_tfe.TFE_NewContext}
     4216    0.011    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     5459    0.011    0.000    0.011    0.000 <frozen importlib._bootstrap>:78(acquire)
     5365    0.011    0.000    0.011    0.000 {built-in method _thread.allocate_lock}
   2665/7    0.010    0.000    2.816    0.402 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    13983    0.010    0.000    0.015    0.000 {built-in method builtins.all}
     3765    0.010    0.000    0.065    0.000 tf_export.py:261(__init__)
    13627    0.010    0.000    0.010    0.000 environments.py:76(batch_size)
   2246/7    0.010    0.000    2.814    0.402 <frozen importlib._bootstrap>:663(_load_unlocked)
     2238    0.010    0.000    0.052    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    13000    0.010    0.000    0.010    0.000 stride_tricks.py:19(__init__)
     7375    0.010    0.000    0.020    0.000 tf_decorator.py:200(unwrap)
2099/1974    0.010    0.000    0.057    0.000 python_message.py:294(_AttachFieldHelpers)
    26750    0.010    0.000    0.010    0.000 shape_base.py:1243(<genexpr>)
     5459    0.009    0.000    0.010    0.000 <frozen importlib._bootstrap>:103(release)
2638/2637    0.009    0.000    0.380    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      505    0.009    0.000    0.009    0.000 decoder.py:561(StringDecoder)
     2763    0.009    0.000    0.009    0.000 {built-in method tensorflow.python._tf_stack.extract_stack}
     1855    0.009    0.000    0.013    0.000 inspect.py:2750(__init__)
26137/26135    0.008    0.000    0.009    0.000 {built-in method builtins.setattr}
      269    0.008    0.000    0.015    0.000 decorator_utils.py:35(_normalize_docstring)
    13127    0.008    0.000    0.117    0.000 _asarray.py:14(asarray)
     2223    0.008    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1855    0.007    0.000    0.068    0.000 inspect.py:2198(_signature_from_callable)
24777/24709    0.007    0.000    0.008    0.000 {method 'join' of 'str' objects}
      255    0.007    0.000    0.658    0.003 __init__.py:4(<module>)
    27278    0.007    0.000    0.007    0.000 {built-in method builtins.issubclass}
      125    0.007    0.000    0.015    0.000 {numpy.random._generator.default_rng}
   2105/6    0.007    0.000    2.814    0.469 <frozen importlib._bootstrap_external>:722(exec_module)
    26000    0.007    0.000    0.007    0.000 fromnumeric.py:597(_transpose_dispatcher)
      250    0.007    0.000    0.091    0.000 derivative_books.py:12(setup_hedge)
    13000    0.006    0.000    0.006    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
     1311    0.006    0.000    0.009    0.000 python_message.py:682(_AddPropertiesForNonRepeatedScalarField)
      535    0.006    0.000    0.015    0.000 python_message.py:1423(_AddMessageMethods)
     2213    0.006    0.000    0.024    0.000 python_message.py:329(AddDecoder)
     2105    0.006    0.000    0.207    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
 1425/166    0.006    0.000    0.025    0.000 sre_compile.py:71(_compile)
     2099    0.006    0.000    0.007    0.000 descriptor.py:1021(_ToJsonName)
     9390    0.006    0.000    0.011    0.000 enum.py:289(__call__)
    26501    0.006    0.000    0.006    0.000 multiarray.py:143(concatenate)
      125    0.006    0.000    0.008    0.000 linalg.py:1483(svd)
    15908    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      535    0.006    0.000    0.008    0.000 descriptor.py:302(__init__)
      125    0.006    0.000    0.015    0.000 function_base.py:23(linspace)
     2106    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     2238    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:318(__exit__)
  535/508    0.005    0.000    0.102    0.000 python_message.py:160(__init__)
    13251    0.005    0.000    0.005    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
     1747    0.005    0.000    0.010    0.000 functools.py:37(update_wrapper)
     9158    0.005    0.000    0.304    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
    34697    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    26250    0.005    0.000    0.005    0.000 shape_base.py:20(_atleast_1d_dispatcher)
     2099    0.005    0.000    0.014    0.000 descriptor.py:549(__init__)
2238/2233    0.005    0.000    0.357    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
    43816    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
     3885    0.005    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
    13370    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
     5480    0.004    0.000    0.009    0.000 {built-in method builtins.any}
    13375    0.004    0.000    0.004    0.000 numeric.py:71(_zeros_like_dispatcher)
    13000    0.004    0.000    0.004    0.000 shape_base.py:263(_apply_along_axis_dispatcher)
  1767/61    0.004    0.000    2.770    0.045 {built-in method builtins.__import__}
      326    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     2580    0.004    0.000    0.005    0.000 tf_decorator.py:236(__init__)
     2099    0.004    0.000    0.019    0.000 python_message.py:605(_AddPropertiesForField)
     4761    0.004    0.000    0.013    0.000 encoder.py:420(TagBytes)
     5767    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
    17701    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
    14743    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
